time,Eating,Eggs,Hunting,JPO_egg_counter,Mating,Swimming,boxnumber,day,eggnumber,gonad_identifyer,gonad_maturity,gonad_weight,identifyer,length,liver_co,liver_identifyer,mass,oxygen,prey_availability,rep_cyc,res_box,sex,sex_gon,stc_identifyer,stc_prey_count,stc_variable,temperature
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1006.0,442.0,,,605.0,,,1.0,13.0,0.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1005.0,442.0,,,605.0,,,1.0,13.0,1.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,37.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1005.0,0.0,1.0,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1006.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1006.0,0.0,0.0,,,,,,,,,,,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1005.0,0.0,0.0,,,,,,,,,,,1.0,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1005.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1006.0,,,,,,,,,,,
16800.0,66.0,0.0,15.0,,0.0,24124.0,,,,,,,1005.0,442.0,,,611.7809399999728,,,1.0,13.0,1.0,,,,,
16800.0,66.0,0.0,15.0,,0.0,24124.0,,,,,,,1006.0,442.0,,,609.1650500000203,,,1.0,13.0,0.0,,,,,
16800.0,66.0,0.0,15.0,,0.0,24124.0,25.0,7.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
16800.0,66.0,0.0,15.0,,0.0,24124.0,37.0,7.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
16800.0,66.0,0.0,15.0,,0.0,24124.0,13.0,7.0,,,,,,,,,,99.0,659.0,,,,,,,,6.0
16800.0,66.0,0.0,15.0,,0.0,24124.0,1.0,7.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
16800.0,66.0,0.0,15.0,,0.0,24124.0,,,,,,,,,,,,,,,,,,1005.0,53.222000000000016,1.0,
16800.0,66.0,0.0,15.0,,0.0,24124.0,,,,,,,,,,,,,,,,,,1006.0,39.494,1.0,
16800.0,66.0,0.0,15.0,0.0,0.0,24124.0,,,0.0,1005.0,0.0,0.0,,,,,,,,,,,1.0,,,,
16800.0,66.0,0.0,15.0,0.0,0.0,24124.0,,,0.0,1006.0,0.0,0.0,,,,,,,,,,,0.0,,,,
16800.0,66.0,0.0,15.0,,0.0,24124.0,,,,,,,,,0.1136905982694653,1005.0,,,,,,,,,,,
16800.0,66.0,0.0,15.0,,0.0,24124.0,,,,,,,,,0.11167946159264767,1006.0,,,,,,,,,,,
33600.0,162.0,0.0,34.0,,0.0,45704.0,,,,,,,1005.0,442.0,,,620.9273399999345,,,1.0,13.0,1.0,,,,,
33600.0,162.0,0.0,34.0,,0.0,45704.0,,,,,,,1006.0,442.0,,,619.3959799999631,,,1.0,13.0,0.0,,,,,
33600.0,162.0,0.0,34.0,,0.0,45704.0,13.0,14.0,,,,,,,,,,99.0,563.0,,,,,,,,6.0
33600.0,162.0,0.0,34.0,,0.0,45704.0,37.0,14.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
33600.0,162.0,0.0,34.0,,0.0,45704.0,1.0,14.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
33600.0,162.0,0.0,34.0,,0.0,45704.0,25.0,14.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
33600.0,162.0,0.0,34.0,,0.0,45704.0,,,,,,,,,,,,,,,,,,1005.0,95.81000000000002,1.0,
33600.0,162.0,0.0,34.0,,0.0,45704.0,,,,,,,,,,,,,,,,,,1006.0,96.05700000000002,1.0,
33600.0,162.0,0.0,34.0,0.0,0.0,45704.0,,,0.0,1005.0,0.0,0.0,,,,,,,,,,,1.0,,,,
33600.0,162.0,0.0,34.0,0.0,0.0,45704.0,,,0.0,1006.0,0.0,0.0,,,,,,,,,,,0.0,,,,
33600.0,162.0,0.0,34.0,,0.0,45704.0,,,,,,,,,0.1237210830157156,1005.0,,,,,,,,,,,
33600.0,162.0,0.0,34.0,,0.0,45704.0,,,,,,,,,0.12636128075501796,1006.0,,,,,,,,,,,
50400.0,269.0,0.0,49.0,,0.0,73637.0,,,,,,,1005.0,442.0,,,618.8377199999862,,,1.0,13.0,1.0,,,,,
50400.0,269.0,0.0,49.0,,0.0,73637.0,,,,,,,1006.0,442.0,,,628.8163699999307,,,1.0,13.0,0.0,,,,,
50400.0,269.0,0.0,49.0,,0.0,73637.0,1.0,21.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
50400.0,269.0,0.0,49.0,,0.0,73637.0,25.0,21.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
50400.0,269.0,0.0,49.0,,0.0,73637.0,37.0,21.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
50400.0,269.0,0.0,49.0,,0.0,73637.0,13.0,21.0,,,,,,,,,,99.0,456.0,,,,,,,,6.0
