time,Eating,Eggs,Hunting,JPO_egg_counter,Mating,Swimming,boxnumber,day,eggnumber,gonad_identifyer,gonad_maturity,gonad_weight,identifyer,length,liver_co,liver_identifyer,mass,oxygen,prey_availability,rep_cyc,res_box,sex,sex_gon,stc_identifyer,stc_prey_count,stc_variable,temperature
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1005.0,442.0,,,715.0,,,1.0,13.0,1.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,1006.0,442.0,,,715.0,,,1.0,13.0,0.0,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,37.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,25.0,0.0,,,,,,,,,,100.0,0.0,,,,,,,,10.0
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1005.0,0.0,1.0,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1006.0,0.0,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1005.0,0.0,0.0,,,,,,,,,,,1.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1006.0,0.0,0.0,,,,,,,,,,,0.0,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1005.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1006.0,,,,,,,,,,,
16800.0,96.0,0.0,24.0,,0.0,20234.0,,,,,,,1005.0,444.0381613885347,,,726.9388399999408,,,1.0,13.0,1.0,,,,,
16800.0,96.0,0.0,24.0,,0.0,20234.0,,,,,,,1006.0,445.2394132305096,,,735.1982099998825,,,1.0,13.0,0.0,,,,,
16800.0,96.0,0.0,24.0,,0.0,20234.0,1.0,7.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
16800.0,96.0,0.0,24.0,,0.0,20234.0,13.0,7.0,,,,,,,,,,99.0,629.0,,,,,,,,6.0
16800.0,96.0,0.0,24.0,,0.0,20234.0,25.0,7.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
16800.0,96.0,0.0,24.0,,0.0,20234.0,37.0,7.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
16800.0,96.0,0.0,24.0,,0.0,20234.0,,,,,,,,,,,,,,,,,,1005.0,73.04699999999998,1.0,
16800.0,96.0,0.0,24.0,,0.0,20234.0,,,,,,,,,,,,,,,,,,1006.0,86.59299999999999,1.0,
16800.0,96.0,0.0,24.0,0.0,0.0,20234.0,,,0.0,1006.0,0.0,0.0,,,,,,,,,,,0.0,,,,
16800.0,96.0,0.0,24.0,0.0,0.0,20234.0,,,0.0,1005.0,0.0,0.0,,,,,,,,,,,1.0,,,,
16800.0,96.0,0.0,24.0,,0.0,20234.0,,,,,,,,,0.0,1005.0,,,,,,,,,,,
16800.0,96.0,0.0,24.0,,0.0,20234.0,,,,,,,,,0.0,1006.0,,,,,,,,,,,
33600.0,170.0,0.0,39.0,,0.0,47640.0,,,,,,,1006.0,448.66631632647824,,,756.9033999997541,,,1.0,13.0,0.0,,,,,
33600.0,170.0,0.0,39.0,,0.0,47640.0,,,,,,,1005.0,446.5281322453844,,,740.371109999899,,,1.0,13.0,1.0,,,,,
33600.0,170.0,0.0,39.0,,0.0,47640.0,37.0,14.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
33600.0,170.0,0.0,39.0,,0.0,47640.0,1.0,14.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
33600.0,170.0,0.0,39.0,,0.0,47640.0,25.0,14.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
33600.0,170.0,0.0,39.0,,0.0,47640.0,13.0,14.0,,,,,,,,,,99.0,555.0,,,,,,,,6.0
33600.0,170.0,0.0,39.0,,0.0,47640.0,,,,,,,,,,,,,,,,,,1005.0,110.98100000000007,1.0,
33600.0,170.0,0.0,39.0,,0.0,47640.0,,,,,,,,,,,,,,,,,,1006.0,141.86900000000009,1.0,
33600.0,170.0,0.0,39.0,0.0,0.0,47640.0,,,0.0,1006.0,0.0,0.0,,,,,,,,,,,0.0,,,,
33600.0,170.0,0.0,39.0,0.0,0.0,47640.0,,,0.0,1005.0,0.0,0.0,,,,,,,,,,,1.0,,,,
33600.0,170.0,0.0,39.0,,0.0,47640.0,,,,,,,,,0.0,1005.0,,,,,,,,,,,
33600.0,170.0,0.0,39.0,,0.0,47640.0,,,,,,,,,0.0,1006.0,,,,,,,,,,,
50400.0,341.0,0.0,62.0,,0.0,76140.0,,,,,,,1005.0,447.1216287340325,,,740.2098499999714,,,1.0,13.0,1.0,,,,,
50400.0,341.0,0.0,62.0,,0.0,76140.0,,,,,,,1006.0,451.33994277210877,,,774.5727499996448,,,1.0,13.0,0.0,,,,,
50400.0,341.0,0.0,62.0,,0.0,76140.0,37.0,21.0,,,,,,,,,,67.0,2317.0,,,,,,,,8.0
50400.0,341.0,0.0,62.0,,0.0,76140.0,13.0,21.0,,,,,,,,,,99.0,384.0,,,,,,,,6.0
50400.0,341.0,0.0,62.0,,0.0,76140.0,1.0,21.0,,,,,,,,,,83.0,2317.0,,,,,,,,6.0
50400.0,341.0,0.0,62.0,,0.0,76140.0,25.0,21.0,,,,,,,,,,70.0,193.0,,,,,,,,7.0
